Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
persian-indoor-rug,Persian Indoor Rug,"<meta charset=""utf-8""><span data-mce-fragment=""1"">Stay a while. The Timber charme chocolat sofa is set atop an oak trim and flaunts fluffy leather back and seat cushions. Over time, this brown leather sofa’s full-aniline upholstery will develop a worn-in vintage look. Snuggle up with your cutie (animal or human) and dive into a bowl of popcorn. This sofa is really hard to leave. Natural color variations, wrinkles and creases are part of the unique characteristics of this leather. It will develop a relaxed vintage look with regular use.</span>",Comfortably,Home & Garden > Decor > Rugs,Rugs,"",true,Title,Default Title,,,,,SKU-0021,0.0,shopify,10,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/rugs-1.jpg?v=1681094961,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
moroccan-outdoor-rug,Moroccan Outdoor Rug,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Home & Garden > Decor > Rugs,Rugs,"",true,Title,Default Title,,,,,SKU-0020,22679.6185,shopify,10,deny,manual,550.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/rugs-2.jpg?v=1681095047,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
sand-leather-sofa,Sand Leather Sofa,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Sofas,Sofas,"",true,Title,Default Title,,,,,SKU-0019,20411.65665,shopify,10,deny,manual,1600.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/sofa-3.jpg?v=1681094748,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
ceni-brown-3-seater,Ceni Brown 3 Seater,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Sofas,Sofas,"",true,Title,Default Title,,,,,SKU-0018,54431.0844,shopify,10,deny,manual,650.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/sofa-4.jpg?v=1681094823,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
diamond-area-rug,Diamond Area Rug,"<meta charset=""utf-8""><span data-mce-fragment=""1"">Easy to love. The Sven in birch ivory looks cozy and refined, like a sweater that a fancy lady wears on a coastal vacation. This ivory loveseat has a tufted bench seat, loose back pillows and bolsters, solid walnut legs, and is ready to make your apartment the adult oasis you dream of. Nestle it with plants, an ottoman, an accent chair, or 8 dogs. Your call.</span>",Comfortably,Home & Garden > Decor > Rugs,Rugs,"",true,Title,Default Title,,,,,SKU-0017,65770.89365,shopify,10,deny,manual,800.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/rugs-3.jpg?v=1681095115,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
austin-hallway-rug,Austin Hallway Rug,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Home & Garden > Decor > Rugs,Rugs,"",true,Title,Default Title,,,,,SKU-0016,18143.6948,shopify,10,deny,manual,1100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/rugs-4.jpg?v=1681095161,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
russel-living-room-set,Russel Living Room Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Living Room Furniture Sets,Living Room Sets,"",true,Title,Default Title,,,,,SKU-0015,54431.0844,shopify,10,deny,manual,1200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/living-room-1.jpg?v=1681095468,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
josh-jones-living-room-set,Josh Jones Living Room Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Living Room Furniture Sets,Living Room Sets,"",true,Title,Default Title,,,,,SKU-0014,27215.5422,shopify,10,deny,manual,1200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/living-room-2.jpg?v=1681095608,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
sven-living-room-set,Sven Living Room Set,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Furniture Sets > Living Room Furniture Sets,Living Room Sets,"",true,Title,Default Title,,,,,SKU-0012,36287.3896,shopify,10,deny,manual,1200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/living-room-3.jpg?v=1681095665,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
abisko-green-sofa,Abisko Green Sofa,"<meta charset=""utf-8""><span data-mce-fragment=""1"">You don’t have to go outside to be rugged. The Cigar rawhide sofa features a sturdy corner-blocked wooden frame and raw seams for that Malboro-person look. This brown leather sofa is cozy in a cottage, cabin, or a condo. And the leather (the leather!) becomes more beautiful with use: subtle character markings such as insect bites, healed scars, and grain variation reflects a real vintage. Saddle up and pass the remote.</span>",Comfortably,Furniture > Sofas,Sofa,"",true,Title,Default Title,,,,,SKU-0013,27215.5422,shopify,10,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0581/0615/1044/products/sofa-1.jpg?v=1681094182,1,,false,,,,,,,,,,,,,,,,,lb,,,true,true,,,active
